Date	$gvkey	$sector	$ticker	PRCCM - Price - Close - Monthly - USD	OPTVOL - Volatility - Assumption (%) - INDL - NA - USD	OPTPRCGR - Options Granted - Price - INDL - NA - USD	OPTOSEY - Options Outstanding - End of Year - INDL - NA - USD	OPTLIFE - Life of Options - Assumption (# yrs) - INDL - NA - USD	OPTPRCEY - Options Outstanding End of Year - Price - INDL - NA - USD	OPTEX - Options Exercisable (000) - INDL - NA - USD	OPTPRCWA - Options Exercisable - Weighted Avg Price - INDL - NA - USD	OPTRFR - Risk Free Rate - Assumption (%) - INDL - NA - USD
12/31/2022	60979	Industrials	WAB	99.81	36.1	81.21	0.532	5.0	75.4	0.309	73.39	0.8
12/31/2022	61302	Financials	ACGL	62.78	24.2	35.9	17.083	6.0	25.06	14.73	23.2	1.0
12/31/2022	61420	Consumer Discretionary	POOL	302.33	27.0	332.91	0.652	6.9	123.98	0.377	76.06	1.0
12/31/2022	61483	Health Care	DVA	74.67	34.3	108.93	5.943	4.5	64.66	1.161	61.13	0.7
12/31/2022	61494	Health Care	HSIC	79.87	27.1	63.21	0.767	6.0	63.24	0.001	62.71	1.33
12/31/2022	61567	Consumer Staples	EL	248.11	27.3	344.09	7.1718	6.0	169.2	5.0566	125.93	0.9
12/31/2022	61574	Health Care	WAT	342.58	32.4	281.33	0.691	6.0	202.24	0.331	162.09	0.8
12/31/2022	61739	Financials	HIG	75.83	38.55	51.87	6.435	6.4	47.46	4.749	45.67	0.72
12/31/2022	62374	Real Estate	IRM	49.85	28.3	34.73	4.224	10.0	36.06	3.169	36.6	1.45
12/31/2022	62689	Financials	TRV	187.49	24.22	139.88	9.42	6.0	126.62	4.082	118.75	0.84
12/31/2022	62921	Health Care	NBIX	119.44	45.9	110.74	7.7	5.2	76.38	5.2	63.53	0.6
12/31/2022	62965	Information Technology	SSNC	52.06	36.42	80.24	44.9	4.0	55.31	24.4	42.19	1.07
12/31/2022	63172	Financials	FDS	401.21	24.5	433.02	2.089	6.9	253.85	1.035	189.12	1.53
12/31/2022	64166	Health Care	DGX	156.44	25.6	122.18	5.7	4.8	96.44	3.7	89.17	0.6
12/31/2022	64344	Consumer Discretionary	MTN	238.35	31.0	360.69	0.679	6.6	241.13	0.449	218.23	0.65
12/31/2022	64410	Consumer Discretionary	KMX	60.89	36.2	136.88	5.796	4.6	79.66	3.031	68.72	0.7
12/31/2022	65417	Consumer Discretionary	YUM	128.08	27.0	103.85	12.27	6.3	79.96	8.405	72.53	0.5
12/31/2022	65609	Industrials	CHRW	91.56	23.0	72.74	6.494	8.91	76.88	4.79	76.08	1.6
12/31/2022	65772	Health Care	MTD	1445.45	25.0	1390.31	0.406	6.3	512.3	0.31	391.69	0.95
12/31/2022	100243	Materials	AMCR	11.91	22.0	12.4	45.0	6.1	10.66	3.0	11.14	1.0
12/31/2022	112111	Industrials	CSGP	77.28	30.0	91.98	1.976	5.0	39.18	1.473	29.55	0.56
12/31/2022	119314	Consumer Discretionary	BKNG	2015.28	33.8	1411.0	0.136	6.4	1407.0	0.001	788.0	0.56
12/31/2022	121382	Real Estate	SBAC	280.31	20.4	240.99	1.899	4.6	157.76	1.166	146.4	1.66
12/31/2022	122257	Health Care	BMRN	103.49	40.5	78.33	6.45	5.35	78.79	5.162	78.54	1.0
12/31/2022	122380	Industrials	LII	239.23	29.8	328.65	0.478	4.35	241.61	0.312	212.22	0.88
12/31/2022	125604	Industrials	PLUG	12.37	74.53	27.58	23.807	4.0	20.64	4.725	4.37	0.92
12/31/2022	126136	Communication Services	CHTR	339.1	27.0	629.57	8.433	5.9	362.26	4.102	237.45	0.7
12/31/2022	126296	Consumer Discretionary	EXPE	87.6	42.64	157.18	5.191	5.13	129.17	2.146	108.1	0.82
12/31/2022	126554	Health Care	A	149.65	26.0	158.0	1.097	5.5	94.0	0.56	54.0	1.5
12/31/2022	126721	Information Technology	TDY	399.91	27.8	440.48	1.794	5.2	206.08	1.328	148.73	0.835
12/31/2022	133366	Health Care	EW	74.61	34.0	94.04	12.3	5.0	52.84	8.2	41.84	0.8
12/31/2022	133768	Financials	MET	72.37	29.72	57.43	4.268	7.0	44.02	3.294	41.72	1.28
12/31/2022	136725	Health Care	ISRG	265.35	32.0	294.53	11.7	4.1	125.07	9.4	99.52	0.8
12/31/2022	137131	Health Care	CRL	217.9	32.0	337.13	0.917	6.0	175.24	0.286	127.69	1.0
12/31/2022	137573	Information Technology	ENTG	65.59	38.0	98.11	0.657	4.6	55.32	0.111	34.54	0.4
12/31/2022	138205	Health Care	ILMN	202.2	41.5	86.73	0.025	1.9	79.42	0.008	66.42	0.23
12/31/2022	139665	Financials	MCO	278.62	28.0	249.99	1.0	5.6	166.16	0.6	119.88	0.82
12/31/2022	141277	Health Care	EXAS	49.51	65.69	5.51	2.284	6.15	34.65	1.781	25.59	1.365
12/31/2022	141460	Health Care	SGEN	128.51	44.0	156.07	7.374	5.7	79.53	5.057	56.86	0.8
12/31/2022	141913	Information Technology	GPN	99.32	40.0	196.06	1.172	5.0	107.44	0.897	86.8	0.59
12/31/2022	142953	Consumer Staples	MDLZ	66.65	23.45	56.26	23.504	5.0	42.65	18.571	39.4	0.57
12/31/2022	143356	Financials	PRU	99.46	33.99	95.87	3.245	5.6	79.76	2.501	83.94	1.42
12/31/2022	144435	Consumer Staples	BG	99.77	27.42	42.76	3.199	6.69	62.28	2.473	66.94	0.7
12/31/2022	144559	Health Care	ZBH	127.5	30.3	163.47	7.547	5.4	125.32	4.805	111.42	0.7
12/31/2022	145046	Health Care	ELV	512.97	30.0	315.3	2.9	5.5	255.5	1.5	215.4	1.44
12/31/2022	145701	Financials	PFG	83.92	34.2	58.68	6.2	7.0	51.89	4.6	50.76	1.2
12/31/2022	145977	Consumer Discretionary	AAP	147.03	35.78	176.5	0.111	6.0	176.5	0.0		1.02
12/31/2022	147579	Communication Services	NFLX	294.88	37.5	554.11	17.596		219.83	17.596	219.83	1.35
12/31/2022	148349	Industrials	TDG	629.65	37.5	637.14	5.386	6.5	377.99	4.036	316.24	2.22
12/31/2022	150937	Information Technology	STX	52.61	38.0	87.34	1.6	4.2	49.26	1.1	41.53	0.6
12/31/2022	157855	Information Technology	CRM	132.59	35.5	201.38	21.0	3.5	156.34	9.0	115.76	1.05
12/31/2022	158742	Financials	MKTX	278.89	31.2	517.88	0.313	5.0	274.35	0.059	190.13	0.4
12/31/2022	160211	Consumer Discretionary	DPZ	346.4	30.0	367.79	0.664	5.25	189.64	0.545	155.82	1.0
12/31/2022	160225	Information Technology	MA	347.73	26.1	363.0	5.4	6.0	152.0	4.2	122.0	0.9
12/31/2022	160549	Communication Services	LBTYA	18.93	32.0	25.74	83.567	4.95	26.33	39.753	29.46	0.805
12/31/2022	160549	Communication Services	LBTYK	19.43	32.0	25.74	83.567	4.95	26.33	39.753	29.46	0.805
12/31/2022	160684	Materials	WLK	102.54	36.9	86.54	1.57	5.0	72.43	0.929	69.77	0.6
12/31/2022	161844	Consumer Discretionary	LVS	48.07	25.1	34.34	61.445	5.5	14.58	43.567	12.27	0.9
12/31/2022	163610	Financials	ICE	102.59	24.0	114.19	2.964	5.7	68.77	2.228	59.03	0.64
12/31/2022	164296	Communication Services	WBD	9.48	42.45	40.25	31.3	5.9	34.571			1.03
12/31/2022	164708	Financials	AMP	311.37	36.0	197.97	3.3	5.0	145.79	2.2	138.35	0.4
12/31/2022	165123	Industrials	LDOS	105.19	29.6	90.25	2.1	4.6	65.18	1.2	51.47	0.7
12/31/2022	165746	Communication Services	LYV	69.74	42.61	89.81	7.72	6.4	18.24	7.702	18.13	1.01
12/31/2022	165914	Consumer Discretionary	CMG	1387.49	35.2	1510.79	0.364	3.7	838.62	0.1	473.64	0.3
12/31/2022	165993	Information Technology	FIS	67.85	27.6	142.92	8.0	4.1	99.32	6.0	84.91	0.6
12/31/2022	170616	Information Technology	SPLK	86.09	44.4	16.83	0.213	4.45	12.35	0.124	12.11	0.65
12/31/2022	170841	Energy	PSX	104.08	32.11	75.23	6.264	6.76	81.25	3.896	81.19	0.93
12/31/2022	171007	Information Technology	NOW	388.27	39.5	676.77	1.305	8.75	551.39	0.178	92.06	1.33
12/31/2022	171067	Information Technology	PANW	139.54	35.9	101.43	8.100000000000001		64.85000000000001	8.100000000000001	64.85000000000001	0.6
12/31/2022	175263	Information Technology	WU	13.77	29.1	18.87	7.0	7.03	18.98	3.6	18.48	1.3
12/31/2022	176928	Information Technology	BR	134.13	27.8	146.26	2.707	5.6	102.34	1.782	85.44	1.9
12/31/2022	177227	Health Care	PODD	294.39	41.5	279.29	0.765	4.3	81.98	0.868	43.33	0.55
12/31/2022	177267	Information Technology	TEL	114.8	29.0	157.02	5.351	5.1	100.21	2.704	84.86	1.2
12/31/2022	177287	Health Care	JAZZ	159.31	37.0	77.32	4.237	4.5	130.8	3.292	134.16	0.6
12/31/2022	177881	Health Care	MASI	147.95	65.6	250.15	2.971	5.35	81.38	2.175	57.09	0.6
12/31/2022	178015	Consumer Discretionary	LULU	320.38	39.32	310.29	0.789	3.75	186.1	0.257	127.06	0.5
12/31/2022	178083	Information Technology	VMW	122.76	35.0	97.91	0.686	2.9	46.95	0.623	46.96	0.3
12/31/2022	178704	Consumer Discretionary	ULTA	469.07	46.9	306.96	0.498	3.9	232.85	0.179	248.11	0.4
12/31/2022	179534	Information Technology	V	207.76	27.1	200.86	6.169	4.11	145.92	4.299	122.49	1.1
12/31/2022	180405	Communication Services	ATVI	76.55	31.06	92.56	9.133	7.61	57.77	5.711	48.9	1.29
12/31/2022	180652	Industrials	VRSK	176.42	23.66	189.29	5.067	4.3	115.73	3.174	89.14	0.39
12/31/2022	183377	Information Technology	FTNT	48.89	39.1	37.256	13.5	4.4	18.574	8.5	11.706	0.5
12/31/2022	183736	Industrials	GNRC	100.66	37.0	335.7	1.342	6.25	64.29	0.896	42.04	0.45
12/31/2022	184700	Information Technology	FLT	183.68	34.44	261.85	5.447	4.0	176.52	3.798	145.18	0.45
12/31/2022	184996	Consumer Discretionary	TSLA	123.18	59.0	276.9433333333333	357.12	4.3	28.15333333333333	203.484	24.82333333333333	0.66
12/31/2022	185355	Health Care	HZNP	113.8	57.62	41.23	6.21	5.0	23.91	5.807	22.5	0.83
12/31/2022	185881	Industrials	BAH	104.52	27.41	75.55	1.413	5.0	44.86	0.898	36.1	0.35
12/31/2022	186858	Consumer Discretionary	ARMK	41.34	41.0	36.8	12.905	6.0	47.96	4.691	34.06	2.11
12/31/2022	186989	Energy	MPC	116.39	39.0	28.78	7.795	5.9	46.23	6.179	48.62	0.6
12/31/2022	187039	Real Estate	Z	32.21	55.0	121.71	25.746	5.13	72.86	12.282	52.5	0.86
12/31/2022	187450	Information Technology	ENPH	264.96	86.4	64.17	2.264	3.8	1.9	2.262	1.9	0.1
12/31/2022	187697	Information Technology	EPAM	327.74	35.3	410.03	2.318	6.24	77.79	2.018	53.27	1.2
12/31/2022	188255	Industrials	FBIN	57.11	35.1	86.94	1.947	5.2	62.56	1.222	56.07	0.6
12/31/2022	189491	Industrials	XYL	110.57	26.29	102.61	1.827	5.7	64.12	1.173	52.69	0.86
12/31/2022	190455	Information Technology	GWRE	62.56	31.85	71.67	0.076	6.0	61.93	0.015	21.85	3.3
12/31/2022	264265	Health Care	ALNY	237.65	60.5	154.31	10.015	6.1	102.51	6.398	88.29	0.9
12/31/2022	294524	Materials	LYB	83.03	39.25	104.48	2.449	5.6	91.5	1.741	90.14	0.95
12/31/2022	316056	Industrials	ALLE	105.26	27.14	109.14	0.758	6.0	93.76	0.44	80.83	0.75
12/31/2022	339965	Information Technology	SNOW	143.54	37.2	34.83	42.043	6.0	7.53	22.863	6.44	1.0
